rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
18161,2,15,0_1,0x2,24,0,0
18161,3,11,0_1,0x30,24,0,0
18161,4,6,1_1,0x32,27,0,0
18161,4,7,1_1,0x64,26,0,1
18161,4,10,1_1,0x0,27,0,2
18161,4,12,1_1,0x65,26,0,3
18161,4,13,1_1,0x190,27,0,4
18161,4,14,1_1,0x3fc,27,0,5
18161,6,15,0_1,0x30,24,0,0
18161,7,11,0_1,0x35,22,0,0
18161,8,6,1_1,0x32,27,0,0
18161,8,7,1_1,0x64,26,0,1
18161,10,15,0_1,0x2,24,0,0
18161,41,17,1_1,0x32,26,0,0
18161,62,15,0_1,0x30,24,0,0
18161,63,6,1_1,0x0,27,0,0
18161,63,7,1_1,0x33,26,0,1
18161,64,15,0_1,0x42,23,0,0
18161,65,6,1_1,0x0,27,0,0
18161,65,7,1_1,0x33,26,0,1
18161,65,10,1_1,0x0,27,0,2
18161,65,12,1_1,0x65,27,0,3
18161,65,13,1_1,0xff,27,0,4
18161,65,14,1_1,0x41a,27,0,5
18161,66,15,0_1,0x62,23,0,0
18161,67,6,1_1,0x0,27,0,0
18161,67,7,1_1,0x64,26,0,1
18161,68,15,0_1,0x2,24,0,0
18161,92,1,1_1,0x32,26,0,0
18161,116,15,0_1,0x2,24,0,0
18161,117,6,1_1,0x0,27,0,0
18161,117,7,1_1,0x64,26,0,1
18161,118,15,0_1,0x62,22,0,0
18161,119,6,1_1,0x32,27,0,0
18161,119,7,1_1,0x33,26,0,1
18161,119,10,1_1,0x32,27,0,2
18161,119,12,1_1,0x65,27,0,3
18161,119,13,1_1,0xff,27,0,4
18161,119,14,1_1,0x3fc,27,0,5
18161,120,15,0_1,0x62,23,0,0
18161,121,6,1_1,0x32,27,0,0
18161,121,7,1_1,0x33,26,0,1
18161,122,15,0_1,0x30,25,0,0
18161,142,3,1_1,0x32,27,0,0
18161,192,6,1_1,0x0,27,0,0
18161,202,15,0_1,0x30,24,0,0
18161,203,6,1_1,0x32,27,0,0
18161,203,7,1_1,0x64,26,0,1
18161,204,15,0_1,0x30,25,0,0
18161,205,11,0_1,0x2,24,0,0
18161,206,5,1_1,0x0,27,0,0
18161,206,7,1_1,0x64,26,0,1
18161,206,10,1_1,0x32,27,0,2
