rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
19754,214,11,1_1,0x0,26,0,1
19754,214,15,0_1,0x42,21,0,0
19754,215,1,1_1,0x165,27,0,2
19754,215,15,1_1,0x165,27,0,0
19754,216,10,1_1,0x190,27,0,0
19754,217,5,1_1,0x165,27,0,0
19754,218,1,1_1,0x190,27,0,0
19754,218,13,1_1,0x190,27,0,1
19754,218,15,0_1,0x42,22,0,0
19754,219,7,1_1,0x3c9,27,0,0
19754,220,1,1_1,0x165,26,0,1
19754,220,15,0_1,0x30,24,0,0
19754,220,17,1_1,0x3c9,27,0,0
19754,221,11,1_1,0x190,27,0,1
19754,222,5,1_1,0x190,27,0,0
19754,222,15,0_1,0x42,22,0,0
19754,223,0,1_1,0x190,27,0,0
19754,223,13,1_1,0x165,27,0,1
19754,224,10,1_1,0x190,27,0,0
19754,224,15,0_1,0x42,21,0,0
19754,225,3,1_1,0x190,27,0,1
19754,225,17,1_1,0x3c9,27,0,0
19754,226,11,1_1,0x165,26,0,1
19754,226,15,0_1,0x42,21,0,0
19754,227,5,1_1,0x165,27,0,0
19754,228,1,1_1,0x190,26,0,0
19754,228,15,0_1,0x2,24,0,0
19754,228,15,1_1,0x165,27,0,0
19754,229,10,1_1,0x190,27,0,0
19754,230,3,1_1,0x165,27,0,1
19754,230,15,0_1,0x42,22,0,0
19754,230,17,1_1,0x3c9,27,0,0
19754,231,13,1_1,0x165,27,0,1
19754,232,7,1_1,0x3c9,27,0,0
19754,232,15,0_1,0x42,23,0,0
19754,233,1,1_1,0x190,27,0,1
19754,233,15,1_1,0x165,27,0,0
19754,234,10,1_1,0x165,27,0,0
19754,234,15,0_1,0x62,22,0,0
19754,235,5,1_1,0x165,27,0,0
19754,236,1,1_1,0x190,26,0,0
19754,236,13,1_1,0x190,27,0,1
19754,236,15,0_1,0x62,21,0,0
19754,237,7,1_1,0x3e8,27,0,0
19754,238,1,1_1,0x190,27,0,1
19754,238,15,0_1,0x42,21,0,0
19754,238,17,1_1,0x3c9,27,0,0
19754,239,11,1_1,0x165,27,0,1
19754,240,6,1_1,0x165,27,0,0
19754,240,15,0_1,0x42,23,0,0
19754,241,0,1_1,0x190,27,0,1
19754,241,13,1_1,0x165,27,0,0
